CustomerId,Gender,Age,Salary,LocationId,Churned
15634602,Female,42,101348.88,2,1
15647311,Female,41,112542.58,6,0
15619304,Female,42,113931.57,4,1
15701354,Female,39,93826.63,1,0
15737888,Female,43,79084.1,4,0
15574012,Male,44,149756.71,1,1
15592531,Male,50,10062.8,5,0
15656148,Female,29,119346.88,1,1
15792365,Male,44,74940.5,5,0
15592389,Male,27,71725.73,4,0
15767821,Male,31,80181.12,4,0
15737173,Male,24,76390.01,1,0
15632264,Female,34,26260.98,5,0
15691483,Female,25,190857.79,5,0
15600882,Female,35,65951.65,1,0
15643966,Male,45,64327.26,5,0
15737452,Male,58,5097.67,4,1
15788218,Female,24,14406.41,2,0
15661507,Male,45,158684.81,2,0
15568982,Female,24,54724.03,2,0
15577657,Male,41,170886.17,5,0
15597945,Female,32,138555.46,2,0
15699309,Female,38,118913.53,2,1
15725737,Male,46,8487.75,4,0
15625047,Female,38,187616.16,2,0
15738191,Male,25,124508.29,6,0
15736816,Male,36,170041.95,1,0
15700772,Male,44,38433.35,6,0
15728693,Female,43,100187.43,1,0
15656300,Male,29,53483.21,4,0
15589475,Female,39,140469.38,4,1
15706552,Male,36,156731.91,2,0
15750181,Male,41,81898.81,2,0
15659428,Female,42,34410.55,3,0
15732963,Female,29,142033.07,3,0
15794171,Female,45,27822.99,5,1
15788448,Male,31,114066.77,3,0
15729599,Male,33,98453.45,5,0
15717426,Male,36,40812.9,2,0
15585768,Male,41,178074.04,3,0
15619360,Male,40,70154.22,4,0
15738148,Female,51,181297.65,6,1
15687946,Female,61,94153.83,2,0
15755196,Female,49,194365.76,3,1
15684171,Female,61,158338.39,4,0
15754849,Female,32,126517.46,2,0
15602280,Female,27,119708.21,1,1
15771573,Female,39,117622.8,2,1
15766205,Male,38,90878.13,4,0
15771873,Female,37,194099.12,4,0
15616550,Male,44,198059.16,1,0
15768193,Male,36,86424.57,4,0
15683553,Female,33,116978.19,6,0
15702298,Male,41,164040.94,5,1
15569590,Male,42,40014.76,3,1
15760861,Male,43,113410.49,1,0
15630053,Male,45,87107.57,1,0
15647091,Male,19,45613.75,1,0
15623944,Female,66,1643.11,3,1
15804771,Male,51,46775.28,3,0
15651280,Male,35,84509.57,1,0
15773469,Female,27,126494.82,4,0
15702014,Male,33,178798.13,1,0
15751208,Male,56,99398.36,1,0
15592461,Male,26,92840.67,6,0
15789484,Female,36,27758.36,2,0
15696061,Female,34,110431.51,2,0
15641582,Male,43,196673.28,4,0
15638424,Female,35,113656.85,2,0
15755648,Female,21,18203.0,4,0
15703793,Male,58,28373.86,3,1
15620344,Male,29,33953.87,6,0
15812518,Female,37,44203.55,2,0
15779052,Female,25,58426.81,6,0
15770811,Male,36,145562.4,2,0
15780961,Female,21,22388.0,2,0
15614049,Male,55,139161.64,4,0
15662085,Female,32,148210.64,4,0
15575185,Male,33,194239.63,6,0
15803136,Female,41,98301.61,5,0
15706021,Female,34,171413.66,2,0
15663706,Female,32,136458.19,4,1
15641732,Female,36,26019.59,6,0
15701164,Female,34,159235.29,3,0
15738751,Female,46,1907.66,5,0
15805254,Female,75,114675.75,3,0
15762418,Male,22,128643.35,4,1
15625759,Male,30,151869.35,6,0
15622897,Female,46,93251.42,2,1
15767954,Female,28,156791.36,4,0
15757535,Female,44,174205.22,6,1
15731511,Male,45,147132.46,6,0
15809248,Female,36,109614.57,2,0
15640635,Male,29,172290.61,3,0
15676966,Male,42,85982.47,5,0
15699461,Male,35,121277.78,5,0
15738721,Male,41,64595.25,3,0
15693683,Male,29,197276.13,3,0
15604348,Male,22,99645.04,4,0
15633059,Male,34,6534.18,2,0
15808582,Female,40,161848.03,6,0
15743192,Female,44,167162.43,5,0
15580146,Male,31,41970.72,3,0
15776605,Male,36,60536.56,6,0
15804919,Female,65,177655.68,2,1
15613854,Female,46,30984.59,5,1
15599195,Male,32,10054.53,1,0
15812878,Female,36,36976.52,2,0
15602312,Male,33,71862.79,3,0
15744689,Male,35,99449.86,2,1
15803526,Male,30,63082.88,1,0
15665790,Male,39,27231.26,6,0
15715951,Male,42,86797.41,4,0
15591100,Male,36,22994.32,4,0
15609618,Male,28,101300.94,4,1
15675522,Female,30,74169.13,4,0
15705512,Female,37,115638.29,2,0
15698028,Female,41,31766.3,4,0
15661670,Female,31,199725.39,4,1
15600781,Male,34,120834.48,5,0
15682472,Male,34,38131.77,6,0
15580203,Male,39,100130.95,6,0
15690673,Female,39,141069.88,2,0
15760085,Female,48,198129.36,1,0
15779659,Female,28,183646.41,6,0
15627360,Male,42,110265.24,2,1
15671137,Female,52,8636.05,1,1
15782688,Male,56,46824.08,2,1
15575492,Female,41,171378.77,1,0
15591607,Male,24,167256.35,1,0
15740404,Female,34,124226.16,5,0
15718369,Female,33,114935.21,2,0
15677871,Male,38,35608.88,4,0
15642004,Male,25,16459.37,2,0
15712543,Male,39,124411.08,2,0
15584518,Female,50,34941.23,1,0
15802381,Female,34,167784.28,5,0
15610156,Male,40,93165.34,4,0
15594408,Female,48,75161.25,3,1
15640905,Female,35,8590.83,6,1
15698932,Male,44,189543.9,2,0
15724944,Male,34,180427.24,2,0
15628145,Female,43,193318.33,4,0
15713483,Male,52,159123.82,4,1
15612350,Female,31,126213.84,6,1
15800703,Female,21,54141.5,5,0
15705707,Female,29,141075.51,2,0
15754105,Male,37,24495.03,6,0
15703264,Male,44,74836.34,4,0
15794413,Male,32,878.87,5,0
15650237,Female,32,89520.75,3,0
15759618,Female,48,149892.79,2,1
15811589,Male,42,180800.42,2,0
15689044,Male,37,98646.22,2,0
15709368,Female,43,109041.53,4,0
15679145,Male,57,17941.16,4,1
15655007,Female,33,82996.47,3,0
15623595,Female,28,92067.35,5,0
15589975,Female,73,104719.66,3,0
15804017,Female,33,112687.57,2,0
15692132,Female,22,84699.56,3,0
15641122,Male,30,83473.82,6,0
15630910,Female,49,47125.11,1,0
15680772,Female,36,106977.8,1,0
15658929,Male,29,55582.54,5,1
15585388,Male,31,139874.43,1,0
15724623,Female,24,162503.48,3,1
15588537,Female,41,196499.96,3,0
15574692,Female,39,40721.24,6,1
15611325,Male,24,53134.3,4,0
15587562,Female,29,164017.89,3,0
15613172,Male,27,155996.96,2,0
15651022,Male,44,5472.7,6,1
15586310,Male,30,112187.11,2,0
15625524,Male,40,146457.83,6,0
15755209,Female,35,27286.1,1,0
15645248,Female,30,130553.47,4,0
15790355,Male,36,179351.89,3,0
15762615,Female,40,94774.12,6,0
15625426,Female,55,8080.85,6,1
15716334,Female,45,19482.5,4,0
15789669,Male,65,48071.61,6,0
15621075,Female,45,174531.27,6,0
15810845,Male,42,55470.78,3,0
15719377,Female,50,8546.87,2,1
15654506,Male,32,95857.18,5,0
15771977,Female,39,194945.8,1,0
15708710,Female,37,131521.72,4,0
15726676,Male,30,196108.51,5,0
15587421,Female,34,148564.76,4,0
15726931,Female,41,92982.61,1,1
15771086,Female,36,17675.36,2,0
15756850,Male,40,114996.43,5,0
15702741,Male,32,86957.42,1,0
15679200,Male,29,128077.8,6,0
15594815,Male,35,600.36,5,0
15635905,Female,32,43001.46,4,0
15777892,Male,37,158591.12,3,0
15656176,Male,57,47847.19,2,0
15811127,Male,35,10488.44,5,0
15604482,Male,30,5978.2,3,0
15622911,Male,42,121409.06,3,0
15600974,Male,50,146145.93,2,1
15727868,Female,38,14374.86,1,1
15627801,Male,33,94670.77,1,0
15773039,Male,37,179670.31,3,0
15755262,Female,41,199304.74,2,1
15679531,Male,34,151954.39,3,0
15684181,Male,45,142513.5,6,1
15612087,Male,45,158264.62,2,0
15752047,Male,33,169381.9,5,0
15624592,Male,31,169915.02,5,0
15573152,Female,41,88852.47,6,0
15594917,Female,34,40645.81,2,0
15785542,Male,26,60427.3,3,0
15723488,Male,47,157959.02,3,1
15680920,Male,46,133007.34,3,0
15786308,Female,33,176576.62,6,0
15659366,Male,43,34888.04,6,1
15774854,Male,54,28737.71,4,1
15725311,Female,31,98178.57,5,0
15787155,Male,30,125010.24,5,0
15727829,Male,42,167984.61,1,0
15733247,Male,33,4861.72,5,1
15568748,Male,45,108872.45,6,1
15699029,Male,37,198252.88,6,0
15774393,Female,30,26960.31,3,0
15676895,Female,39,85746.52,6,1
15637753,Male,50,77206.25,6,1
15605461,Female,29,61048.53,1,0
15808473,Male,72,111981.19,6,0
15627000,Male,40,62232.6,6,0
15787174,Female,37,156105.03,2,0
15723886,Male,20,150135.38,4,0
15704769,Female,67,93146.11,6,0
15772896,Male,42,33462.94,6,1
15711540,Female,29,144375.0,3,0
15764866,Female,43,55803.96,6,1
15794056,Female,46,89048.46,2,1
15795149,Male,28,162812.16,1,0
15812009,Male,38,136259.65,3,0
15651001,Female,39,124052.97,3,0
15813844,Male,37,74158.8,1,0
15596175,Male,67,45071.09,6,1
15576269,Male,34,62030.06,4,0
15797219,Female,40,131953.23,5,1
15685500,Male,26,79414.0,2,0
15599792,Female,26,199638.56,6,0
15657566,Male,24,157577.29,5,0
15772423,Male,54,134420.75,2,1
15628112,Female,36,99805.99,3,0
15753754,Female,34,97932.68,3,0
15793726,Female,79,170968.99,4,0
15694717,Male,37,57558.95,4,0
15665834,Male,28,176713.47,6,0
15765297,Male,41,34283.23,1,0
15636684,Male,34,198637.34,4,0
15592979,Female,34,156917.12,4,0
15750803,Female,30,50457.2,1,0
15607178,Male,38,140075.55,6,0
15713853,Male,42,65323.11,2,0
15673481,Female,48,64323.24,1,0
15686776,Female,32,14956.44,5,0
15673693,Female,26,111879.21,2,0
15700696,Male,31,18606.23,3,0
15813163,Female,36,123137.01,5,0
15653857,Male,34,148528.24,3,0
15777076,Male,36,13898.31,6,0
15717398,Female,39,81259.25,2,1
15799217,Female,35,161051.75,4,0
15787071,Male,41,191599.67,4,0
15619955,Male,34,48559.19,1,1
15796505,Female,34,186339.74,1,0
15725166,Male,30,33159.37,2,0
15800116,Male,28,93883.53,2,0
15758685,Female,37,110899.3,2,0
15694456,Male,62,11199.04,6,1
15767339,Female,53,189992.97,2,0
15683562,Male,35,164255.69,2,0
15782210,Male,46,152167.79,2,1
15668893,Male,39,33949.67,4,0
15669169,Male,29,68143.93,4,0
15643024,Male,35,47251.79,1,1
15699389,Male,42,25885.72,2,0
15708608,Female,22,192633.85,3,0
15626144,Male,40,34577.36,5,0
15573112,Male,29,161229.84,3,0
15790678,Female,32,100816.29,3,0
15727556,Female,26,181694.44,6,0
15697307,Male,34,79078.91,5,0
15652266,Male,42,137316.32,1,0
15607098,Female,41,194926.86,5,0
15655774,Male,27,51285.49,4,0
15590241,Female,34,150401.53,1,1
15785819,Male,38,112491.96,6,0
15723654,Male,25,73656.38,3,0
15774510,Female,31,106636.89,2,0
15684173,Female,44,155853.52,2,1
15650068,Male,58,162599.51,4,0
15811490,Male,33,103737.82,4,0
15803976,Female,31,160990.27,6,0
15682541,Female,36,15462.84,4,0
15695699,Male,35,10334.05,4,0
15624188,Female,33,190686.16,4,0
15812191,Male,33,94440.45,3,0
15636673,Male,31,28257.63,2,0
15594898,Male,43,170034.95,1,1
15660211,Male,35,31824.29,5,0
15773972,Male,50,127166.49,5,1
15746726,Male,31,44937.01,4,0
15712287,Female,80,188603.07,4,0
15702919,Male,30,145111.37,5,0
15674398,Male,38,171463.83,1,0
15797960,Female,59,182822.5,4,0
15631868,Male,36,87213.33,1,0
15581539,Male,37,57175.32,1,0
15662736,Male,49,120540.83,6,1
15666252,Male,42,28714.34,4,0
15677512,Female,22,85426.28,6,0
15626114,Male,24,46170.75,1,0
15810834,Female,57,64448.36,5,0
15678910,Female,30,16278.97,1,0
15694408,Male,40,182855.42,3,1
15585215,Female,31,50404.72,6,0
15682757,Male,30,107640.25,4,0
15736601,Male,35,134132.65,5,0
15601848,Male,35,103480.69,5,0
15736008,Female,46,108761.05,3,1
15669064,Male,35,179012.3,2,0
15624528,Male,26,95145.14,3,0
15598493,Male,50,72143.44,2,0
15601274,Female,40,19162.89,6,0
15702669,Male,44,144680.18,1,0
15728669,Female,30,177772.03,4,1
15742668,Female,37,5597.94,4,0
15697441,Male,29,116828.51,6,1
15740476,Female,32,174652.51,6,0
15648064,Male,33,2010.98,6,0
15636624,Female,39,14109.85,4,1
15807923,Female,39,43527.4,4,1
15745844,Female,40,86099.23,1,1
15786170,Male,31,161574.19,3,0
15681081,Female,47,38970.14,3,0
15684484,Male,22,127587.22,5,0
15785869,Female,25,30380.12,5,0
15763859,Female,43,90908.95,4,0
15658935,Female,34,138275.01,3,0
15747358,Male,59,32171.79,6,0
15735203,Female,32,126143.23,1,0
15576256,Male,39,129892.93,3,0
15659420,Male,32,102416.84,3,0
15593365,Male,39,18719.67,3,0
15777352,Female,32,61936.22,4,0
15812007,Male,25,78358.94,2,0
15625461,Female,45,147224.27,1,0
15739438,Male,30,160979.66,1,0
15611759,Female,57,132298.49,5,0
15661629,Male,34,174248.52,4,1
15633950,Male,41,123547.28,6,0
15592386,Male,58,32790.02,5,0
15803716,Male,28,181543.67,2,0
15696674,Female,45,2319.96,6,1
15706365,Female,50,189543.19,4,0
15745088,Female,29,10940.4,1,0
15676715,Male,68,199493.38,4,0
15613085,Female,33,188193.25,3,0
15633537,Female,42,172572.64,6,0
15594720,Female,35,189339.6,4,0
15684042,Male,34,53512.16,4,0
15583303,Female,29,34004.44,4,0
15611579,Male,42,10598.29,1,0
15774696,Female,75,113428.77,2,0
15694506,Male,31,183487.98,4,0
15688074,Male,31,187658.09,4,0
15759537,Male,35,172459.39,1,0
15758449,Female,39,21016.0,1,0
15583456,Male,45,122381.02,3,1
15667871,Male,35,128123.66,5,0
15677371,Female,30,19570.63,1,0
15629677,Female,39,188150.6,3,1
15713578,Female,50,111020.24,1,0
15591509,Male,36,123775.15,3,0
15568240,Female,30,146700.22,3,0
15622993,Male,28,145251.35,1,0
15689294,Male,44,82463.69,1,0
15720910,Female,66,15928.49,1,0
15721181,Male,46,45886.33,5,0
15776433,Male,62,186489.95,3,0
15748936,Female,45,162922.65,2,0
15717225,Female,21,9262.77,3,0
15685226,Female,29,84932.4,3,0
15785611,Male,38,71557.12,6,0
15573456,Male,46,77405.95,1,1
15684548,Male,38,417.41,2,1
15620505,Female,24,71405.17,1,0
15807432,Female,37,153400.24,2,0
15584766,Male,33,371.05,6,0
15612187,Male,32,67789.99,6,0
15762218,Female,39,145894.9,3,0
15646372,Female,66,183840.51,2,1
15690452,Male,52,108887.44,4,0
15747795,Female,38,154071.27,2,0
15781589,Male,52,179291.85,4,0
15732674,Male,36,56937.43,6,0
15642291,Male,23,112239.03,6,0
15692761,Male,36,45909.87,6,0
15578045,Female,49,173779.25,4,1
15745354,Female,37,125696.26,2,0
15701376,Male,37,159585.61,2,0
15691625,Female,41,106761.47,2,0
15566594,Male,23,129590.18,3,0
15760431,Male,38,80006.65,4,0
15686302,Female,31,140451.52,4,0
15801559,Female,41,187929.43,4,1
15810432,Male,35,167155.36,5,0
15809616,Male,26,191420.71,5,0
15720559,Female,61,11384.45,5,1
15695632,Female,39,94898.1,5,0
15659843,Female,46,106781.59,6,0
15615624,Female,28,159508.52,1,0
15810418,Female,60,93524.19,6,1
15716186,Female,38,87168.46,5,0
15674551,Male,40,8128.32,4,1
15622834,Female,35,125518.32,2,0
15566111,Male,39,48963.59,1,0
15784597,Male,26,98368.24,4,0
15652883,Male,39,148584.61,6,0
15806964,Male,45,27474.81,4,0
15576313,Female,40,76192.21,6,0
15806467,Male,40,134600.94,4,1
15597602,Male,57,72467.99,2,1
15743040,Male,41,199645.45,6,0
15705521,Female,33,42749.85,4,0
15595039,Female,37,136050.44,6,1
15799384,Male,33,73564.44,1,0
15581197,Female,51,85578.63,1,0
15693737,Female,30,129826.89,5,0
15624623,Male,35,119666.0,5,0
15783501,Female,38,68052.08,3,0
15690134,Female,42,164104.74,1,0
15782735,Female,35,80190.36,3,0
15611088,Female,31,84126.75,1,0
15672145,Female,34,70179.0,2,0
15732628,Male,46,118024.1,5,0
15787470,Male,47,145704.19,4,1
15803406,Female,26,183049.41,4,0
15730460,Male,37,120906.83,2,0
15644572,Male,40,100433.83,5,0
15694860,Female,38,138777.0,6,1
15658169,Female,47,124694.99,2,0
15794396,Female,38,40084.32,5,0
15785798,Male,40,119232.33,2,0
15710825,Male,31,43921.36,2,0
15668444,Female,44,62222.81,2,0
15726631,Female,39,56577.0,1,0
15733797,Male,36,164253.35,1,0
15747960,Male,33,7666.73,5,0
15634632,Male,38,68487.51,2,0
15707362,Male,43,199273.98,1,1
15662976,Male,37,186062.36,3,0
15732778,Male,29,195711.16,1,0
15718443,Male,39,36692.17,6,0
15670039,Female,25,106920.57,6,0
15773792,Female,32,48725.68,5,1
15613786,Male,26,167036.94,2,0
15726032,Male,33,68777.26,5,0
15663252,Female,32,18924.92,6,0
15593782,Female,38,71905.77,6,1
15633283,Male,35,64833.28,5,0
15749167,Male,35,184843.77,6,0
15759298,Male,27,176730.02,3,0
15683625,Male,37,20629.4,4,1
15635367,Male,26,28415.36,1,0
15681705,Male,28,77231.27,3,0
15603156,Female,33,102750.7,2,0
15591986,Male,46,34580.8,6,1
15798888,Female,31,183598.77,2,0
15809722,Female,40,147358.27,5,0
15677538,Male,38,108469.2,5,0
15797736,Male,29,20612.82,1,0
15695585,Male,34,181196.76,3,0
15744398,Female,23,160249.1,6,0
15750658,Male,37,110783.28,4,0
15578186,Male,37,144995.33,6,0
15676519,Male,61,150227.85,1,1
15637954,Female,35,53718.28,1,0
15758639,Male,37,75248.3,5,0
15613772,Male,39,14353.43,2,1
15731744,Male,30,130486.57,1,0
15807709,Female,55,100127.71,6,0
15714689,Male,29,196356.17,5,0
15699005,Female,41,9983.88,3,0
15624170,Female,38,118974.77,3,0
15725679,Female,47,194998.34,3,1
15585865,Female,38,134901.34,4,1
15804256,Male,36,72924.56,5,0
15662403,Female,32,101057.95,5,0
